date,,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
07/04/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,-11,66.56,-732.16,Redemption
13/04/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,189,112.7215,21304.3635,Subscription
22/04/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,486,239.89667,116589.7816,Subscription
27/04/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,481,320.59,154203.79,Subscription
07/05/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,94,69.48,6531.12,Subscription
18/05/2021,,Predios LTDA,,Real Estate,Real Estate,BRL,,,200000,Subscription
19/05/2021,,VC Company,,PE / VC,PE / VC,CAD,,,100000,Subscription
20/05/2021,,PE Company,,PE / VC,PE / VC,JPY,,,670000,Subscription
20/05/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,403,115.347496,46485.04089,Subscription
21/05/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,-27,114.7065,-3097.0755,Redemption
25/05/2021,,Private Equity Investments,,PE / VC,PE / VC,EUR,,,400000,Subscription
25/05/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,-8,61.91,-495.28,Redemption
01/06/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,111,62.38,6924.18,Subscription
11/06/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,-26,203.29668,-5285.71368,Redemption
18/06/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,188,302.61,56890.68,Subscription
25/06/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,342,65.11,22267.62,Subscription
29/06/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,11,61.5,676.5,Subscription
