date,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
31/01/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
31/01/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,197578.0091,Valuation Update
31/01/2022,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
31/01/2022,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
31/01/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
31/01/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1050.046463,105004.6463,Valuation Update
31/01/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,923.5502577,184710.0515,Valuation Update
31/01/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,888.6187135,88861.87135,Valuation Update
28/02/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
28/02/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,197578.0091,Valuation Update
28/02/2022,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
28/02/2022,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
28/02/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
28/02/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1074.501221,107450.1221,Valuation Update
28/02/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,908.3762028,181675.2406,Valuation Update
28/02/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,829.1330154,82913.30154,Valuation Update
31/03/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
31/03/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,197578.0091,Valuation Update
31/03/2022,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
31/03/2022,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
31/03/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
31/03/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,982.807867,98280.7867,Valuation Update
31/03/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,888.4783491,177695.6698,Valuation Update
31/03/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,858.1195594,85811.95594,Valuation Update
