date,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
30/04/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
30/04/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,197578.0091,Valuation Update
30/04/2022,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
30/04/2022,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
30/04/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
30/04/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,961.4513717,96145.13717,Valuation Update
30/04/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,920.6895276,184137.9055,Valuation Update
30/04/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,859.1856868,85918.56868,Valuation Update
18/05/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,209578.0091,Subscription
31/05/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
31/05/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,209578.0091,Valuation Update
31/05/2022,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
31/05/2022,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
31/05/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
31/05/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,992.232116,99223.2116,Valuation Update
31/05/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,948.7839551,189756.791,Valuation Update
31/05/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,892.5601277,89256.01277,Valuation Update
30/06/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,105424.8023,Valuation Update
30/06/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,221141.6547,Valuation Update
30/06/2022,VC Company,,PE / VC,PE / VC,CAD,,,122825.3804,Valuation Update
30/06/2022,PE Company,,PE / VC,PE / VC,JPY,,,752681.6553,Valuation Update
30/06/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,463586.3764,Valuation Update
30/06/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1002.459454,100245.9454,Valuation Update
30/06/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,300,987.6046951,296281.4085,Subscription
30/06/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,885.2555792,88525.55792,Valuation Update
