date,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
30/04/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,100000,Valuation Update
18/05/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,200000,Subscription
19/05/2021,VC Company,,PE / VC,PE / VC,CAD,,,100000,Subscription
20/05/2021,PE Company,,PE / VC,PE / VC,JPY,,,670000,Subscription
25/05/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,400000,Subscription
31/05/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,100000,Valuation Update
31/05/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,200000,Valuation Update
31/05/2021,VC Company,,PE / VC,PE / VC,CAD,,,100000,Valuation Update
31/05/2021,PE Company,,PE / VC,PE / VC,JPY,,,670000,Valuation Update
31/05/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,400000,Valuation Update
30/06/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,95521.11466,Valuation Update
30/06/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,211869.0149,Valuation Update
30/06/2021,VC Company,,PE / VC,PE / VC,CAD,,,109484.1629,Valuation Update
30/06/2021,PE Company,,PE / VC,PE / VC,JPY,,,688932.09,Valuation Update
30/06/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,422107.5248,Valuation Update
