date,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
31/10/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,95521.11466,Valuation Update
31/10/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,211869.0149,Valuation Update
31/10/2021,VC Company,,PE / VC,PE / VC,CAD,,,109484.1629,Valuation Update
31/10/2021,PE Company,,PE / VC,PE / VC,JPY,,,688932.09,Valuation Update
31/10/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,422107.5248,Valuation Update
31/10/2021,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1002.289972,100228.9972,Valuation Update
31/10/2021,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,1029.639863,205927.9725,Valuation Update
31/10/2021,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,945.5928129,94559.28129,Valuation Update
30/11/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,95521.11466,Valuation Update
30/11/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,211869.0149,Valuation Update
30/11/2021,VC Company,,PE / VC,PE / VC,CAD,,,109484.1629,Valuation Update
30/11/2021,PE Company,,PE / VC,PE / VC,JPY,,,688932.09,Valuation Update
30/11/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,422107.5248,Valuation Update
30/11/2021,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1070.172132,107017.2132,Valuation Update
30/11/2021,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,1022.712097,204542.4194,Valuation Update
30/11/2021,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,1032.861256,103286.1256,Valuation Update
31/12/2021,Real Estate Company,,Real Estate,Real Estate,USD,,,98395.37649,Valuation Update
31/12/2021,Predios LTDA,,Real Estate,Real Estate,BRL,,,197578.0091,Valuation Update
31/12/2021,VC Company,,PE / VC,PE / VC,CAD,,,111982.8043,Valuation Update
31/12/2021,PE Company,,PE / VC,PE / VC,JPY,,,701272.3193,Valuation Update
31/12/2021,Private Equity Investments,,PE / VC,PE / VC,EUR,,,414850.7141,Valuation Update
31/12/2021,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1117.695008,111769.5008,Valuation Update
31/12/2021,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200,953.252362,190650.4724,Valuation Update
31/12/2021,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,979.2415161,97924.15161,Valuation Update
